PATH,ROW,LATITUDE,LONGITUDE
3,72,25.0512,110.761
3,73,24.1593,110.538
3,74,23.267,110.317
3,75,22.3744,110.098
3,76,21.4816,109.88
3,77,20.5885,109.665
3,78,19.6951,109.452
3,79,18.8015,109.24
3,80,17.9077,109.029
3,81,17.0137,108.821
3,82,16.1194,108.613
3,83,15.225,108.407
3,84,14.3303,108.202
3,85,13.4355,107.998
3,86,12.5405,107.795
3,87,11.6454,107.594
3,88,10.7502,107.393
3,89,9.85476,107.192
3,90,8.95925,106.993
3,91,8.06363,106.794
3,92,7.16791,106.596
3,93,6.27211,106.398
3,94,5.37623,106.201
3,95,4.48029,106.004
3,96,3.5843,105.808
3,97,2.68826,105.612
3,98,1.79219,105.416
3,99,0.896101,105.22
3,100,-0,105.024
3,101,-0.896101,104.828
3,102,-1.79219,104.632
3,103,-2.68826,104.436
3,104,-3.5843,104.24
3,105,-4.48029,104.043
3,106,-5.37623,103.847
3,107,-6.27211,103.649
3,108,-7.16791,103.452
3,109,-8.06363,103.253
3,110,-8.95925,103.055
3,111,-9.85476,102.855
3,112,-10.7502,102.655
3,113,-11.6454,102.454
3,114,-12.5405,102.252
3,115,-13.4355,102.049
3,116,-14.3303,101.846
3,117,-15.225,101.641
3,118,-16.1194,101.434
3,119,-17.0137,101.227
3,120,-17.9077,101.018
3,121,-18.8015,100.808
3,122,-19.6951,100.596
3,123,-20.5885,100.383
3,124,-21.4816,100.167
3,125,-22.3744,99.9501
3,126,-23.267,99.7311
3,127,-24.1593,99.5099
3,128,-25.0512,99.2865
3,129,-25.9429,99.0608
3,130,-26.8342,98.8326
3,131,-27.7251,98.6019
3,132,-28.6157,98.3684
3,133,-29.506,98.132
3,134,-30.3958,97.8926
3,135,-31.2853,97.6499
3,136,-32.1743,97.4039
3,137,-33.0629,97.1542
3,138,-33.951,96.9008
3,139,-34.8387,96.6434
3,140,-35.7258,96.3819
3,141,-36.6125,96.1158
3,142,-37.4986,95.8451
3,143,-38.3842,95.5695
3,144,-39.2692,95.2886
3,145,-40.1536,95.0021
3,146,-41.0374,94.7098
3,147,-41.9206,94.4114
3,148,-42.803,94.1063
3,149,-43.6848,93.7943
3,150,-44.5658,93.4749
3,151,-45.4461,93.1477
3,152,-46.3255,92.8121
3,153,-47.2041,92.4677
3,154,-48.0818,92.1139
3,155,-48.9585,91.75
3,156,-49.8343,91.3755
3,157,-50.709,90.9894
3,158,-51.5826,90.5912
3,159,-52.455,90.1799
3,160,-53.3262,89.7546
3,161,-54.1961,89.3143
3,162,-55.0646,88.8578
3,163,-55.9316,88.3839
3,164,-56.797,87.8913
3,165,-57.6607,87.3786
3,166,-58.5226,86.8439
3,167,-59.3825,86.2856
3,168,-60.2402,85.7017
3,169,-61.0957,85.0898
3,170,-61.9486,84.4476
3,171,-62.7989,83.7722
3,172,-63.6462,83.0605
3,173,-64.4902,82.3091
3,174,-65.3307,81.5141
3,175,-66.1673,80.6709
3,176,-66.9996,79.7747
